country,year,industry,ai_adoption_rate_percent,ai_generated_content_volume_tbs_per_year,job_loss_due_to_ai_percent,revenue_increase_due_to_ai_percent,human_ai_collaboration_rate_percent,top_ai_tools_used,regulation_status,consumer_trust_in_ai_percent,market_share_of_ai_companies_percent,net_impact_percent,ai_maturity_score
Australia,2020,Automotive,14.31,3559,14.59,36.05,76.71,Claude,Moderate,76.46,2.64,21.459999999999997,51.69
Australia,2020,Finance,69.67,4775,27.81,55.74,74.99,Synthesia,Moderate,68.67,9.18,27.930000000000003,71.28
Australia,2020,Healthcare,21.02,205,5.47,79.55,53.09,ChatGPT,Strict,44.82,13.25,74.08,38.19
Australia,2020,Marketing,33.91,864,17.15,5.92,3.21,DALL-E,Lenient,76.05,37.53,-11.229999999999999,33.7
Canada,2020,Education,60.69,5638,29.34,28.55,3.95,Claude,Strict,30.81,3.26,-0.7899999999999991,33.36
Canada,2020,Gaming,50.97,1605,46.78,62.71,68.18,Synthesia,Strict,60.09,31.02,15.93,59.27
Canada,2020,Healthcare,68.24,3633,22.77,24.34,40.04,ChatGPT,Lenient,45.16,15.34,1.5700000000000003,52.6
Canada,2020,Legal,39.94,5779,46.08,44.31,38.14,Midjourney,Strict,46.49,37.29,-1.769999999999996,40.95
Canada,2020,Marketing,41.32,152,34.42,17.23,36.29,Midjourney,Lenient,70.43,37.79,-17.19,46.84
China,2020,Education,7.07,9467,37.59,4.47,78.66,ChatGPT,Lenient,64.86,3.86,-33.120000000000005,46.57
China,2020,Manufacturing,45.27,8247,12.07,57.15,57.03,Midjourney,Strict,42.57,39.35,45.08,48.71
China,2020,Manufacturing,72.88,155,47.77,76.86,55.78,Midjourney,Moderate,57.09,1.21,29.089999999999996,62.95
China,2020,Manufacturing,93.49,1696,20.47,26.27,83.71,ChatGPT,Moderate,70.17,45.17,5.800000000000001,84.24
China,2020,Media,43.22,528,4.32,51.15,51.23,Bard,Moderate,60.89,3.34,46.83,50.44
China,2020,Media,35.22,8415,20.44,73.08,65.49,Synthesia,Lenient,48.02,22.55,52.64,49.01
China,2020,Retail,82.41,7729,11.75,17.78,33.19,DALL-E,Strict,81.88,24.11,6.030000000000001,65.05
France,2020,Automotive,79.59,2037,39.06,44.06,83.18,Synthesia,Moderate,45.04,14.03,5.0,72.21
France,2020,Legal,64.43,4141,38.39,19.26,88.29,DALL-E,Strict,45.13,6.24,-19.13,67.96
France,2020,Manufacturing,93.16,5091,36.57,35.31,78.29,ChatGPT,Lenient,65.04,9.04,-1.259999999999998,80.93
France,2020,Marketing,7.1,7753,17.41,12.56,31.57,Midjourney,Strict,56.93,38.36,-4.85,28.12
France,2020,Media,20.47,161,2.43,31.04,52.49,Stable Diffusion,Strict,3.58,24.29,28.61,27.45
France,2020,Media,55.19,4106,29.26,5.19,49.04,ChatGPT,Moderate,50.12,46.08,-24.07,51.77
Germany,2020,Finance,7.19,2166,37.69,28.02,2.67,Midjourney,Moderate,4.08,37.87,-9.669999999999998,4.83
Germany,2020,Manufacturing,20.23,6816,49.16,38.34,24.65,Bard,Lenient,58.54,1.63,-10.819999999999993,31.35
Germany,2020,Manufacturing,21.63,3658,42.05,61.25,5.3,Synthesia,Moderate,57.27,22.23,19.200000000000003,24.82
Germany,2020,Media,34.28,7654,26.52,68.89,61.67,ChatGPT,Lenient,57.88,35.63,42.370000000000005,49.77
Germany,2020,Media,70.11,2826,27.62,57.86,58.71,DALL-E,Strict,78.74,31.73,30.24,68.28
India,2020,Automotive,64.03,521,41.36,53.59,23.62,DALL-E,Moderate,37.89,34.26,12.230000000000004,43.35
India,2020,Automotive,80.04,3649,29.72,76.74,69.01,ChatGPT,Moderate,48.27,4.48,47.019999999999996,68.24
India,2020,Education,70.48,1997,33.75,15.07,64.12,Stable Diffusion,Moderate,48.13,40.32,-18.68,62.67
India,2020,Media,43.55,1489,13.87,41.09,37.81,ChatGPT,Moderate,86.44,3.53,27.220000000000006,52.26
India,2020,Retail,93.72,2755,48.33,31.86,75.36,Bard,Moderate,73.23,9.67,-16.47,82.17
Japan,2020,Media,34.27,419,28.58,2.34,24.04,Claude,Lenient,87.03,39.95,-26.24,43.88
Japan,2020,Retail,19.03,466,31.81,47.63,33.97,Claude,Lenient,78.85,19.08,15.820000000000004,39.21
South Korea,2020,Automotive,30.94,8297,37.08,60.61,56.01,Bard,Lenient,8.51,38.38,23.53,34.11
South Korea,2020,Education,43.12,4247,17.26,26.12,3.86,ChatGPT,Moderate,65.57,10.43,8.86,34.99
South Korea,2020,Finance,18.91,574,40.53,49.28,82.93,Midjourney,Strict,68.44,12.68,8.75,53.7
South Korea,2020,Healthcare,10.53,2097,23.64,34.27,45.67,Stable Diffusion,Moderate,58.52,33.37,10.630000000000003,34.83
South Korea,2020,Retail,12.97,7622,33.17,75.91,27.28,Bard,Lenient,6.4,3.54,42.739999999999995,16.34
UK,2020,Automotive,63.03,2618,31.41,57.91,6.39,Midjourney,Lenient,83.66,6.21,26.499999999999996,48.36
UK,2020,Education,70.59,6457,23.88,69.35,55.02,Claude,Lenient,89.88,4.47,45.47,69.96
UK,2020,Education,67.49,3537,37.69,49.79,53.15,Stable Diffusion,Moderate,35.56,47.38,12.100000000000001,54.49
UK,2020,Finance,88.23,2018,17.85,10.99,85.27,Claude,Moderate,32.96,32.23,-6.860000000000001,73.38
UK,2020,Legal,50.34,507,1.04,0.58,68.07,Synthesia,Strict,37.36,28.87,-0.4600000000000001,53.3
USA,2020,Finance,36.52,42,25.53,71.01,21.92,Bard,Moderate,8.49,29.93,45.480000000000004,24.4
USA,2020,Media,2.75,2367,2.21,56.52,60.77,Claude,Strict,36.75,12.56,54.31,31.56
USA,2020,Retail,26.12,7378,21.51,22.63,65.41,Midjourney,Strict,44.56,3.46,1.1199999999999974,44.48
Australia,2021,Gaming,76.22,7593,4.33,10.63,61.88,DALL-E,Moderate,65.57,6.82,6.300000000000001,68.54
Australia,2021,Media,57.44,7471,25.91,4.78,82.92,DALL-E,Strict,49.17,43.77,-21.13,64.29
Canada,2021,Manufacturing,49.72,736,44.52,66.78,73.26,Midjourney,Lenient,89.07,20.52,22.259999999999998,67.8
China,2021,Finance,14.76,5835,39.61,76.52,36.03,Synthesia,Lenient,81.84,22.64,36.91,38.97
China,2021,Gaming,1.39,512,49.71,0.57,6.54,Stable Diffusion,Moderate,68.69,38.59,-49.14,20.02
China,2021,Media,85.09,4012,34.67,50.96,43.18,Midjourney,Moderate,61.28,25.64,16.29,64.47
France,2021,Gaming,78.95,4562,17.45,1.05,2.17,Midjourney,Strict,41.77,21.41,-16.4,42.78
France,2021,Gaming,54.67,641,38.29,27.12,24.78,Stable Diffusion,Moderate,7.56,32.81,-11.169999999999998,32.43
France,2021,Legal,85.24,9376,2.77,78.24,29.45,Claude,Moderate,51.84,1.93,75.47,57.36
France,2021,Legal,25.62,8647,47.64,7.11,36.22,Bard,Lenient,63.66,29.92,-40.53,38.84
France,2021,Media,42.53,4438,8.99,49.69,47.11,Synthesia,Moderate,55.15,46.58,40.699999999999996,47.29
Germany,2021,Automotive,89.44,5298,48.47,12.14,3.06,DALL-E,Lenient,77.21,44.35,-36.33,56.15
Germany,2021,Education,45.09,118,27.79,0.14,39.09,Bard,Strict,50.81,20.61,-27.65,44.42
Germany,2021,Manufacturing,20.25,9906,3.81,6.61,80.08,DALL-E,Moderate,80.65,0.55,2.8000000000000003,56.29
Germany,2021,Marketing,81.18,356,33.94,68.33,76.84,Claude,Lenient,41.73,39.04,34.39,69.8
Germany,2021,Media,4.08,4229,21.03,62.27,21.16,Bard,Lenient,77.31,12.95,41.24,28.37
India,2021,Education,63.04,8249,6.68,50.72,81.71,DALL-E,Lenient,33.36,3.86,44.04,62.15
India,2021,Manufacturing,45.37,4859,47.42,40.66,80.62,Bard,Moderate,74.96,47.48,-6.760000000000005,65.1
Japan,2021,Education,38.42,4078,23.06,58.05,81.05,ChatGPT,Strict,80.19,25.28,34.989999999999995,63.78
Japan,2021,Media,76.22,5666,15.67,38.03,33.05,Midjourney,Lenient,74.86,49.08,22.36,60.77
South Korea,2021,Healthcare,67.97,3818,21.57,1.76,20.43,Midjourney,Moderate,4.65,20.88,-19.81,35.5
South Korea,2021,Healthcare,53.76,9477,4.08,31.27,32.23,Bard,Lenient,51.34,1.18,27.189999999999998,45.62
South Korea,2021,Marketing,44.99,77,18.15,52.91,80.25,ChatGPT,Moderate,32.02,48.91,34.76,54.09
UK,2021,Automotive,46.44,2616,4.91,64.98,52.91,Midjourney,Strict,68.32,34.39,60.07000000000001,54.17
UK,2021,Education,21.57,7701,32.52,13.61,37.65,ChatGPT,Strict,33.61,18.87,-18.910000000000004,30.21
UK,2021,Gaming,88.38,1243,2.37,52.51,59.75,Stable Diffusion,Moderate,54.27,48.93,50.14,69.83
USA,2021,Education,73.11,9877,38.22,67.17,87.65,Synthesia,Lenient,31.54,31.14,28.950000000000003,67.81
USA,2021,Education,87.79,4086,28.82,74.04,70.58,Stable Diffusion,Strict,60.03,12.22,45.220000000000006,74.83
USA,2021,Gaming,67.18,792,40.55,52.54,5.03,Synthesia,Moderate,73.15,8.66,11.990000000000002,46.92
USA,2021,Manufacturing,8.34,6633,24.27,34.95,47.21,Claude,Moderate,47.81,4.74,10.680000000000003,31.81
USA,2021,Marketing,56.81,5652,15.98,69.17,51.21,Midjourney,Lenient,54.41,20.22,53.19,54.25
USA,2021,Retail,66.95,4772,0.86,27.58,64.42,ChatGPT,Lenient,68.14,8.09,26.72,66.36
Australia,2022,Gaming,89.96,803,25.11,74.04,51.67,Claude,Strict,78.51,17.66,48.93000000000001,73.7
Australia,2022,Retail,7.86,1964,1.29,8.47,64.18,ChatGPT,Strict,59.15,13.48,7.180000000000001,40.39
Canada,2022,Automotive,11.14,2847,43.11,50.61,7.82,Synthesia,Lenient,81.93,47.32,7.5,27.68
Canada,2022,Healthcare,52.43,9069,3.79,9.78,67.03,DALL-E,Strict,63.92,47.98,5.989999999999999,60.41
Canada,2022,Legal,27.53,9529,29.08,13.91,52.29,Synthesia,Lenient,70.43,9.06,-15.169999999999998,46.92
Canada,2022,Retail,67.15,6571,8.92,19.32,40.95,Bard,Lenient,4.81,22.15,10.4,42.4
China,2022,Automotive,46.72,8574,15.77,75.69,3.82,ChatGPT,Lenient,83.61,33.06,59.92,40.93
China,2022,Finance,39.48,6335,25.56,55.14,20.82,Midjourney,Lenient,42.94,36.32,29.580000000000002,33.81
China,2022,Media,26.27,3813,21.79,3.37,65.36,Midjourney,Lenient,54.57,38.02,-18.419999999999998,47.03
France,2022,Media,49.97,559,22.61,17.55,34.97,Synthesia,Lenient,78.71,2.76,-5.059999999999999,51.9
France,2022,Retail,43.32,1893,22.13,61.74,33.94,Claude,Lenient,69.97,13.22,39.61,46.7
Germany,2022,Education,43.85,5254,32.07,73.68,74.08,Stable Diffusion,Strict,56.79,25.07,41.61000000000001,57.67
Germany,2022,Finance,87.95,1255,12.61,3.82,25.44,Claude,Lenient,34.37,31.99,-8.79,52.68
India,2022,Automotive,28.48,3449,18.44,2.35,35.14,DALL-E,Strict,57.31,14.27,-16.09,38.02
India,2022,Media,68.39,3474,1.41,6.8,35.05,Stable Diffusion,Strict,88.43,34.83,5.39,61.73
Japan,2022,Healthcare,62.98,2498,27.51,27.51,53.78,Midjourney,Strict,55.93,30.55,0.0,58.0
Japan,2022,Healthcare,46.79,8092,15.36,49.09,37.15,Stable Diffusion,Strict,33.05,32.61,33.730000000000004,39.98
Japan,2022,Legal,57.35,9406,37.36,1.72,20.37,Midjourney,Moderate,88.69,7.53,-35.64,52.24
Japan,2022,Manufacturing,41.28,2214,10.33,6.67,40.15,Claude,Lenient,61.31,33.26,-3.66,45.89
Japan,2022,Manufacturing,2.86,4995,40.02,3.22,22.45,Claude,Moderate,51.58,2.99,-36.800000000000004,21.9
Japan,2022,Media,20.14,37,20.68,52.01,37.02,Midjourney,Moderate,81.94,43.92,31.33,41.5
South Korea,2022,Gaming,74.66,2614,8.89,6.35,58.99,Claude,Lenient,83.38,29.08,-2.540000000000001,71.36
South Korea,2022,Media,44.29,3309,16.77,46.12,74.79,Bard,Strict,40.77,18.73,29.349999999999998,54.08
UK,2022,Automotive,80.83,6755,42.39,51.87,74.39,Synthesia,Strict,33.56,21.66,9.479999999999997,66.76
UK,2022,Automotive,11.99,280,21.71,5.14,66.59,DALL-E,Lenient,41.71,5.19,-16.57,38.53
UK,2022,Gaming,89.74,1564,10.14,0.38,33.44,Midjourney,Moderate,42.99,32.23,-9.76,58.35
UK,2022,Gaming,30.18,9754,18.39,14.76,49.67,Midjourney,Moderate,89.76,12.56,-3.630000000000001,51.9
UK,2022,Marketing,73.89,1663,47.25,68.91,60.15,ChatGPT,Strict,3.44,27.19,21.659999999999997,51.47
USA,2022,Automotive,81.06,9613,10.66,4.56,39.66,Stable Diffusion,Moderate,54.47,22.76,-6.1000000000000005,59.92
USA,2022,Gaming,9.3,427,12.92,55.65,5.1,ChatGPT,Lenient,47.34,21.16,42.73,17.34
USA,2022,Manufacturing,44.61,2616,49.34,58.53,75.29,Stable Diffusion,Moderate,32.96,43.24,9.189999999999998,52.44
Australia,2023,Automotive,45.35,2049,33.21,5.05,41.73,Claude,Strict,47.42,43.11,-28.16,44.6
Australia,2023,Marketing,18.43,744,2.75,12.96,54.31,ChatGPT,Moderate,73.34,6.21,10.21,44.72
Australia,2023,Media,68.23,614,0.62,53.13,53.16,Claude,Moderate,7.16,15.26,52.510000000000005,47.69
Australia,2023,Retail,91.41,6749,6.67,71.61,54.73,ChatGPT,Strict,53.96,29.35,64.94,69.21
Canada,2023,Gaming,31.96,4943,28.25,56.09,79.12,Midjourney,Strict,69.59,21.86,27.840000000000003,57.87
Canada,2023,Media,61.49,1753,48.25,20.74,47.72,DALL-E,Moderate,8.79,29.32,-27.51,43.5
China,2023,Finance,27.02,868,25.44,8.51,6.86,Midjourney,Strict,84.37,14.69,-16.93,34.3
China,2023,Healthcare,80.75,6093,3.22,14.67,61.33,Claude,Moderate,83.72,32.54,11.45,74.7
China,2023,Legal,66.93,659,3.23,0.85,71.52,Midjourney,Strict,43.34,5.41,-2.38,62.64
France,2023,Legal,48.39,5731,0.12,17.95,61.69,Bard,Lenient,66.25,4.44,17.83,57.51
France,2023,Marketing,65.77,4983,39.94,79.44,43.73,Synthesia,Lenient,81.58,14.62,39.5,62.01
France,2023,Media,88.41,534,36.07,13.78,36.24,Synthesia,Moderate,58.85,35.86,-22.29,62.76
Germany,2023,Gaming,77.96,6951,21.76,41.93,56.36,Bard,Strict,6.9,39.55,20.169999999999998,52.64
Germany,2023,Healthcare,88.75,3056,31.35,60.23,46.53,ChatGPT,Moderate,70.19,30.79,28.879999999999995,69.33
Germany,2023,Marketing,20.95,2653,5.89,2.28,47.14,ChatGPT,Strict,82.45,44.86,-3.61,45.49
Germany,2023,Media,4.34,7592,9.64,33.23,42.07,Midjourney,Moderate,87.28,48.39,23.589999999999996,38.28
India,2023,Gaming,39.04,7844,31.32,28.93,77.95,ChatGPT,Strict,39.63,22.79,-2.3900000000000006,52.81
Japan,2023,Manufacturing,78.57,724,17.23,47.61,43.84,ChatGPT,Lenient,34.52,39.19,30.38,55.4
Japan,2023,Marketing,12.86,508,1.85,20.65,75.67,DALL-E,Lenient,38.35,5.25,18.799999999999997,41.22
Japan,2023,Marketing,72.59,5137,4.03,3.84,72.92,Claude,Moderate,76.92,27.59,-0.1900000000000004,73.79
Japan,2023,Media,71.57,724,18.28,49.83,32.73,Claude,Moderate,42.97,28.45,31.549999999999997,50.83
Japan,2023,Media,27.61,1449,35.67,18.49,42.88,Claude,Strict,30.12,42.23,-17.180000000000003,33.58
South Korea,2023,Finance,83.74,1968,33.55,1.75,64.79,ChatGPT,Moderate,70.63,46.78,-31.799999999999997,73.83
South Korea,2023,Legal,75.42,2403,28.82,42.27,54.72,Stable Diffusion,Lenient,74.85,11.26,13.450000000000003,68.03
South Korea,2023,Marketing,74.81,5467,2.23,52.34,8.48,Stable Diffusion,Lenient,42.06,1.17,50.11000000000001,43.41
UK,2023,Education,82.82,7553,22.34,1.44,40.39,Midjourney,Strict,36.48,17.29,-20.9,56.38
UK,2023,Gaming,91.27,3387,41.67,56.26,59.93,ChatGPT,Moderate,46.98,28.51,14.589999999999996,69.23
USA,2023,Finance,8.32,485,40.84,22.58,82.54,Bard,Moderate,76.14,3.53,-18.260000000000005,51.25
USA,2023,Retail,11.94,9159,26.28,73.93,57.55,Synthesia,Moderate,65.79,2.93,47.650000000000006,41.37
Australia,2024,Automotive,78.21,3334,6.54,76.76,8.78,Claude,Strict,71.22,49.04,70.22,52.16
China,2024,Manufacturing,48.54,8958,34.88,66.31,60.28,Midjourney,Moderate,30.52,24.81,31.43,48.14
France,2024,Automotive,15.77,2395,7.51,43.32,36.55,ChatGPT,Strict,60.71,48.02,35.81,34.28
France,2024,Finance,73.22,9447,26.42,28.86,57.06,Stable Diffusion,Strict,30.17,48.56,2.4399999999999977,56.8
France,2024,Gaming,27.95,7137,49.33,0.93,5.37,Stable Diffusion,Moderate,87.06,20.68,-48.4,34.82
France,2024,Healthcare,77.33,5128,2.36,23.16,84.93,ChatGPT,Strict,85.01,24.33,20.8,81.91
France,2024,Media,23.27,3875,44.22,67.88,78.13,ChatGPT,Moderate,72.79,1.35,23.659999999999997,54.85
Germany,2024,Healthcare,17.05,5286,46.37,70.85,79.54,Claude,Strict,83.17,4.56,24.479999999999997,55.45
India,2024,Finance,50.27,1789,6.51,30.02,20.76,Claude,Moderate,32.28,26.84,23.509999999999998,35.44
India,2024,Gaming,44.17,8235,42.79,49.74,74.11,Bard,Lenient,81.95,2.49,6.950000000000003,64.09
India,2024,Healthcare,59.85,610,41.04,77.48,28.32,Midjourney,Moderate,70.17,30.75,36.440000000000005,51.39
India,2024,Marketing,5.53,6776,3.21,11.15,48.72,Synthesia,Strict,58.79,45.09,7.94,33.96
India,2024,Media,1.52,3075,45.44,16.62,31.27,Bard,Lenient,61.68,1.4,-28.819999999999997,26.97
India,2024,Media,52.18,584,3.68,60.81,42.56,Stable Diffusion,Strict,4.36,14.06,57.13,36.86
Japan,2024,Legal,67.94,9681,8.84,51.06,23.04,Stable Diffusion,Lenient,33.16,0.76,42.22,43.53
Japan,2024,Manufacturing,82.72,1797,23.56,50.08,24.06,ChatGPT,Strict,77.96,5.46,26.52,61.0
Japan,2024,Marketing,88.16,1483,2.86,26.45,47.53,DALL-E,Moderate,59.28,20.74,23.59,66.72
South Korea,2024,Legal,57.15,9202,29.64,73.89,81.93,DALL-E,Moderate,60.67,37.77,44.25,66.7
South Korea,2024,Media,25.98,529,16.06,11.74,47.03,Claude,Strict,55.83,42.56,-4.3199999999999985,40.81
South Korea,2024,Retail,26.63,9537,49.58,1.75,72.35,Midjourney,Strict,53.62,48.53,-47.83,49.38
UK,2024,Automotive,82.54,7106,44.65,28.93,39.83,DALL-E,Lenient,33.51,49.28,-15.719999999999999,55.33
UK,2024,Gaming,77.52,34,14.58,6.79,66.23,DALL-E,Moderate,31.46,41.11,-7.79,62.05
USA,2024,Marketing,3.2,4426,0.09,40.67,32.98,Bard,Strict,60.99,22.31,40.58,28.07
Australia,2025,Finance,35.83,9462,29.11,65.36,82.68,Stable Diffusion,Lenient,38.02,20.93,36.25,52.78
Australia,2025,Gaming,62.64,6124,37.25,43.72,20.21,Claude,Lenient,79.68,47.08,6.469999999999999,52.05
Canada,2025,Education,17.02,8777,4.59,52.45,64.72,Claude,Moderate,60.55,2.27,47.86,44.6
Canada,2025,Gaming,94.76,1758,14.48,71.63,67.44,Midjourney,Strict,71.96,34.65,57.14999999999999,79.5
Canada,2025,Legal,82.25,681,30.99,76.88,5.7,DALL-E,Lenient,33.48,27.13,45.89,43.26
Canada,2025,Marketing,78.43,8482,26.41,4.72,33.28,Synthesia,Moderate,64.49,45.04,-21.69,59.14
China,2025,Gaming,70.04,666,29.79,23.17,58.46,Bard,Moderate,41.08,8.39,-6.619999999999997,58.75
China,2025,Healthcare,2.55,1874,15.07,40.81,64.86,Stable Diffusion,Moderate,51.07,39.97,25.740000000000002,36.49
China,2025,Legal,34.75,6674,46.89,52.46,26.17,DALL-E,Strict,35.67,35.02,5.57,31.98
China,2025,Legal,87.73,4474,42.89,7.85,39.34,DALL-E,Strict,78.54,32.72,-35.04,68.5
France,2025,Marketing,62.94,749,2.24,71.69,63.54,Stable Diffusion,Lenient,44.26,41.99,69.45,58.48
France,2025,Media,79.64,8725,12.32,54.75,82.48,DALL-E,Moderate,49.54,20.17,42.43,73.11
France,2025,Retail,29.61,5956,24.68,46.92,57.21,DALL-E,Moderate,3.17,2.89,22.240000000000002,32.66
India,2025,Education,67.08,8064,26.79,1.57,59.71,Bard,Strict,53.86,46.63,-25.22,61.2
India,2025,Education,46.62,7237,22.03,31.66,35.21,Synthesia,Lenient,46.02,20.08,9.629999999999999,42.48
India,2025,Gaming,16.79,85,28.43,65.47,23.38,Synthesia,Moderate,59.92,1.64,37.04,29.88
India,2025,Legal,29.45,9291,42.89,14.73,68.45,Synthesia,Moderate,73.82,17.82,-28.16,54.19
India,2025,Retail,32.74,2534,9.41,33.42,73.55,DALL-E,Lenient,70.72,19.93,24.01,56.52
India,2025,Retail,68.21,684,9.32,57.89,61.89,Midjourney,Moderate,78.14,4.13,48.57,68.48
India,2025,Retail,3.32,431,14.77,66.25,81.74,Stable Diffusion,Moderate,4.9,16.85,51.480000000000004,31.16
India,2025,Retail,76.35,7899,3.82,0.73,70.78,Stable Diffusion,Lenient,70.39,45.49,-3.09,72.91
Japan,2025,Automotive,92.96,4486,14.64,25.17,68.19,Midjourney,Strict,76.16,9.47,10.530000000000001,80.09
Japan,2025,Manufacturing,91.67,9028,49.65,26.79,25.29,Stable Diffusion,Strict,38.75,20.54,-22.86,55.21
Japan,2025,Retail,44.97,4393,32.93,18.56,24.81,Stable Diffusion,Moderate,54.38,46.37,-14.370000000000001,40.27
Japan,2025,Retail,35.91,225,48.37,71.07,68.44,Midjourney,Moderate,85.92,33.33,22.699999999999996,59.8
South Korea,2025,Gaming,81.86,3553,28.46,7.11,63.48,ChatGPT,Moderate,31.33,11.61,-21.35,62.79
South Korea,2025,Healthcare,4.41,8785,39.96,33.44,72.72,Midjourney,Lenient,76.74,40.98,-6.520000000000003,46.4
South Korea,2025,Healthcare,86.58,2096,24.08,2.49,84.48,Claude,Strict,60.05,42.29,-21.589999999999996,79.21
South Korea,2025,Legal,52.86,1091,1.73,57.82,45.95,Bard,Lenient,79.04,4.09,56.09,56.99
UK,2025,Gaming,28.27,398,3.19,6.12,49.89,Midjourney,Lenient,54.77,0.44,2.93,42.46
UK,2025,Healthcare,83.85,70,22.88,59.43,66.73,Synthesia,Lenient,43.37,21.52,36.55,67.74
UK,2025,Manufacturing,64.87,4904,36.31,38.16,82.41,Synthesia,Lenient,78.14,20.54,1.8499999999999943,74.33
USA,2025,Gaming,49.71,5019,14.09,12.41,40.18,Stable Diffusion,Moderate,57.05,5.76,-1.6799999999999997,48.21
USA,2025,Gaming,29.49,3314,13.89,4.19,4.64,Bard,Strict,53.68,43.36,-9.7,26.84
USA,2025,Marketing,4.53,4281,3.03,24.96,78.13,Bard,Moderate,66.28,10.51,21.93,45.73
USA,2025,Media,33.23,7551,12.61,63.58,77.34,DALL-E,Lenient,48.51,4.66,50.97,52.49
USA,2025,Retail,26.57,3887,16.33,2.77,77.03,Claude,Moderate,76.47,16.73,-13.559999999999999,56.71
USA,2025,Retail,38.21,104,36.85,8.52,24.88,Claude,Lenient,39.31,11.84,-28.330000000000002,33.82
